Review ID,Submission Date,Initial Publish Date,Review Authorization Source,Moderation Status,Content Codes,User ID,Product ID,Product Name,Category,Category ID,Top Level Category,Top Level Category ID,"Category
Hierarchy",Product Brand,Featured Badge,Staff Badge,Expert Badge,Merit Rank,Is a Ratings-Only Review,Review Title,User Nickname,User Location,User Email Address,Shared Review with Facebook,Review Published Email,Review Commented Email,Overall Rating,Online Experience,Account Benefits,Customer Service,Rewards Program,Recommend to a Friend,Pros,Cons,Review Text,Client Comments,Photo 1,Photo 2,Video 1,# of Comments,"# of Comments
Approved","# of Comments
Rejected","# of Comments
in Moderation","# of Comments 
with Photo","# of Comments 
with Video","# of Helpful
Votes","# of Not Helpful
Votes","# of Inappropriate
Votes",Client Response 1,Response Department 1,Response Name 1,Response Type 1,Age,Member Since,Location,Net Promoter Score,Net Promoter Comment,Product Page URL,Campaign ID,Locale,Originating Domain,Display Code,Session Parameters
58169234,5/5/2014,5/5/2014,SITE,APPROVED,,1030918693,DSIT,Discover It for Students,Discover It for Students,DSIT,Discover It for Students,DSIT,Discover It for Students,,,,,,,Great Card and Company!,wkustudent,,,0,No,No,5,5,4,5,4,Yes,,,Never had a problem with Discover. I am a college student and this is the best way to start building your credit for young adults.,,,,,0,0,0,0,0,0,1,0,0,,,,,18-30,2013,Kentucky,,,https://www.discover.com/credit-cards/student/,,en_US,reviews.discovercard.com,8500-en_us,
58144636,5/5/2014,5/5/2014,SITE,APPROVED,,1031288405,DSIT,Discover It for Students,Discover It for Students,DSIT,Discover It for Students,DSIT,Discover It for Students,,,,,,,Great First Credit Card,WMUStudent27,,,0,No,No,5,5,4,4,4,Yes,,,Discover It has made it very easy for me as a full time student to manage my first credit card. The online account makes it very easy and convenient for me to check my payments and due dates. I also love the cash back rewards.,,,,,0,0,0,0,0,0,0,0,0,,,,,18-30,2013,Michigan,,,https://www.discover.com/credit-cards/student/,,en_US,reviews.discovercard.com,8500-en_us,
58132837,5/4/2014,5/5/2014,SITE,APPROVED,,1030322711,DSIT,Discover It for Students,Discover It for Students,DSIT,Discover It for Students,DSIT,Discover It for Students,,,,,,,A Wonderful Starter Card,theddrdude,,,0,No,No,5,5,5,5,5,Yes,,,"You know, I would have been happy enough getting a credit card with just a decent starting line of credit, but no. I got a card with a generous credit limit and a GREAT rewards program. I am more than happy with this card. I haven't had a single issue with it or with everything that comes with it. In fact, I love the online account center and mobile app. They're both pretty easy to use and they have everything I need so that I never really have to call customer support.",,,,,0,0,0,0,0,0,0,1,0,,,,,18-30,2013,California,,,https://www.discover.com/credit-cards/student/,,en_US,reviews.discovercard.com,8500-en_us,
58114296,5/4/2014,5/4/2014,SITE,APPROVED,,1030133797,DSIT,Discover It for Students,Discover It for Students,DSIT,Discover It for Students,DSIT,Discover It for Students,,,,,,,"Great Card, Confusing Website",R256,,,0,No,No,4,2,4,5,4,Yes,,,"I'm a college student, and this card is great. No annual fee, and the rewards program is a nice bonus. I haven't needed to talk to a customer service representative very often, but when I have, things went very smoothly. The only gripe I have is with the website. I find it a little confusing, and hard to tell what has posted, or when I made a payment, or which links to follow. But that might just be me. I think it has gotten a little better over the past few months. The thing I do like about the online portion, is that I can see my FICO credit score in every statement. I haven't had another credit card, so I don't know if this is standard.",,,,,0,0,0,0,0,0,0,2,0,,,,,18-30,2013,,,,https://www.discover.com/credit-cards/student/,,en_US,reviews.discovercard.com,8500-en_us,
58113613,5/4/2014,5/4/2014,SITE,APPROVED,,1031219592,DSIT,Discover It for Students,Discover It for Students,DSIT,Discover It for Students,DSIT,Discover It for Students,,,,,,,I honestly think this is the best credit card ever!,Hopey,,,0,No,No,5,5,5,5,5,Yes,,,I have nothing to say but all positive things when it comes to my Discover Card ! I tell everyone I know how great it is and that they need to get them one! Thank You for giving me mine .,,,,,0,0,0,0,0,0,0,0,0,,,,,18-30,2013,West Virginia,,,https://www.discover.com/credit-cards/student/,,en_US,reviews.discovercard.com,8500-en_us,
58088854,5/3/2014,5/3/2014,SITE,APPROVED,PF PS,1031616145,DSIT,Discover It for Students,Discover It for Students,DSIT,Discover It for Students,DSIT,Discover It for Students,,,,,,,Just what a student needs,Skhaddad,,,0,No,No,4,5,5,5,4,Yes,,,"While I certainly dislike the cap on rewards, I do find this card to be exactly what i'm looking for. It gives me money back on the things I need so I can buy the things I want! One thing I do want to address are the quarterly 5% cash back offers. I wish they had more relevant options for students.",,,,,0,0,0,0,0,0,1,0,0,,,,,18-30,2013,Indiana,,,https://www.discover.com/credit-cards/student/,,en_US,reviews.discovercard.com,8500-en_us,
58081871,5/3/2014,5/3/2014,SITE,APPROVED,,1029977704,DSIT,Discover It for Students,Discover It for Students,DSIT,Discover It for Students,DSIT,Discover It for Students,,,,,Top 10,,Best Credit Card,Amruth,,,0,No,No,5,4,5,5,4,Yes,,,"Discover is full of cash back, free checks available, Even Benefits of using debit card like 10Cents back.

Lot more",,,,,0,0,0,0,0,0,0,1,0,,,,,18-30,2013,Ohio,,,https://www.discover.com/credit-cards/student/,,en_US,reviews.discovercard.com,8500-en_us,
58052836,5/3/2014,5/3/2014,SITE,APPROVED,,1031952150,DSIT,Discover It for Students,Discover It for Students,DSIT,Discover It for Students,DSIT,Discover It for Students,,,,,,,Love it!,JackR,,,0,No,No,5,5,5,5,5,Yes,,,"Great card, great benefits, and great customer service. I'm very impressed with Discover. This is the best credit card company; I highly recommend this card!",,,,,0,0,0,0,0,0,0,0,0,,,,,31-40,,Georgia,,,https://www.discover.com/credit-cards/student/,,en_US,reviews.discovercard.com,8500-en_us,
58020744,5/2/2014,5/2/2014,SITE,APPROVED,,1030220400,DSIT,Discover It for Students,Discover It for Students,DSIT,Discover It for Students,DSIT,Discover It for Students,,,,,,,AWESOME,megs,,,0,No,No,5,5,5,5,5,Yes,,,Great benefits and great service!!!! I am so happy that I applied for this card!,,,,,0,0,0,0,0,0,0,0,0,,,,,18-30,2013,Ohio,,,https://www.discover.com/credit-cards/student/,,en_US,reviews.discovercard.com,8500-en_us,
57983033,5/2/2014,5/2/2014,SITE,APPROVED,,1031168023,DSIT,Discover It for Students,Discover It for Students,DSIT,Discover It for Students,DSIT,Discover It for Students,,,,,,,the best for student,funny,,,0,No,No,5,5,5,5,5,Yes,,,discover is a very good credit card for students who are longing to build a credit score for the future to come,,,,,0,0,0,0,0,0,1,0,0,,,,,18-30,2013,Illinois,,,https://www.discover.com/credit-cards/student/,,en_US,reviews.discovercard.com,8500-en_us,
57974847,5/1/2014,5/2/2014,SITE,APPROVED,,1029667822,DSIT,Discover It for Students,Discover It for Students,DSIT,Discover It for Students,DSIT,Discover It for Students,,,,,,,Great card!!,HD1080,,,0,No,No,5,5,5,5,5,Yes,,,"No nickel and diming, all straight forward, not a single hoop to jump through, and rewards that people can actually use.",,,,,0,0,0,0,0,0,0,0,0,,,,,18-30,2013,Arizona,,,https://www.discover.com/credit-cards/student/,,en_US,reviews.discovercard.com,8500-en_us,
57969526,5/1/2014,5/1/2014,SITE,APPROVED,,1030401924,DSIT,Discover It for Students,Discover It for Students,DSIT,Discover It for Students,DSIT,Discover It for Students,,,,,,,Best Card out there.,Seanpatel,,,0,No,No,5,5,5,5,5,Yes,,,I honestly Love the Discover IT card. Not only do they provide me with awesome cash back benefits but I get money back at some of my favorite stores. Also when I call Customer service- I can TALK to a REAL person!!,,,,,0,0,0,0,0,0,0,0,0,,,,,18-30,2013,Connecticut,,,https://www.discover.com/credit-cards/student/,,en_US,reviews.discovercard.com,8500-en_us,
57875249,4/29/2014,4/29/2014,SITE,APPROVED,MKT,1031207485,DSIT,Discover It for Students,Discover It for Students,DSIT,Discover It for Students,DSIT,Discover It for Students,,,,,,,Disover helps you discover.,Tine,,,0,No,No,5,5,5,5,5,Yes,,,"I've only had my discover card for a few months now but I absolutely love it. I get random gift cards for appreciation, the cashback bonus is great, and the customer service has always been amazing. After the target breach, they were quick to send out new cards and helped me feel a bit safer.",,,,,0,0,0,0,0,0,0,0,0,,,,,18-30,2013,New Jersey,,,https://www.discover.com/credit-cards/student/,,en_US,reviews.discovercard.com,8500-en_us,
57870570,4/29/2014,4/29/2014,SITE,APPROVED,PF PS,1029947531,DSIT,Discover It for Students,Discover It for Students,DSIT,Discover It for Students,DSIT,Discover It for Students,,,,,,,Some of the rewards are useless to people.....,stantheman,,,0,No,No,4,5,4,4,2,Yes,,,"The current cash back reward is useless. I do not own a home, and therefor i wont receive much, if any, cash back for this quarter. I feel like discover should make standard cash back rewards that you get through out the year. Discover could also give you an alternative cash back classification instead of giving you one option like home improvement.",,,,,0,0,0,0,0,0,4,0,0,,,,,18-30,2013,Kansas,,,https://www.discover.com/credit-cards/student/,,en_US,reviews.discovercard.com,8500-en_us,
57841765,4/28/2014,4/29/2014,SITE,APPROVED,CSN,1030570531,DSIT,Discover It for Students,Discover It for Students,DSIT,Discover It for Students,DSIT,Discover It for Students,,Yes,,,,,Great card to get you started!,Goldilocks89,,,0,No,No,5,5,4,5,5,Yes,,,"I've really enjoyed having this credit card! It was my first credit card, and the perfect card for beginners. I was able to figure out how the payment schedules work and how they monitor my charges. I asked for a credit limit increase three months after I received the card and of course was denied because I had no ""score"" yet. The customer service representatives were very informative and answered all my questions. This is the perfect card for people just starting out in the ""real world!""",,,,,0,0,0,0,0,0,1,0,0,Glad our card has been such a good fit for you. And that our service reps are getting you the answers you need. Thanks for the praise—we’ll keep working to earn it.,Marketing,Megan B.,Positive,18-30,2013,Wyoming,,,https://www.discover.com/credit-cards/student/,,en_US,reviews.discovercard.com,8500-en_us,
